#From https://www.meteoswiss.admin.ch/home/measurement-and-forecasting-systems/land-based-stations/automatisches-messnetz.html?region=Table
name	altitude	easting	northing	abreviation
Aadorf-Tanikon	539	710515	259821	TAE
Acquarossa-Comprovasco	575	714998	146440	COM
Adelboden	1327	609350	149001	ABO
Aigle	381	560401	130713	AIG
Altdorf	438	690174	193558	ALT
Altenrhein	398	760382	261387	ARH
Andeer	987	752687	164036	AND
Andermatt	1438	687444	165044	ANT
Arosa	1878	771030	184826	ARO
Bad-Ragaz	496	756910	209351	RAG
Bantiger	942	606850	202975	BAN
Basel-Binningen	316	610911	265601	BAS
Bergun-Latsch	1408	777273	166619	LAT
Bern-Zollikofen	553	601930	204410	BER
Beznau	326	659808	267694	BEZ
Binn	1448	657892	135176	BIN
Bischofszell	470	735325	262285	BIZ
Bivio	1856	771282	148120	BIV
Biere	684	515889	153207	BIE
Blatten-Ltschental	1538	629564	141084	BLA
Boltigen	820	595831	163587	BOL
Bouveret	374	555264	138175	BOU
Buchs-Aarau	387	648389	248365	BUS
Buffalora	1968	816494	170225	BUF
Bullet-La-Fretaz	1205	534221	188081	FRE
Cevio	417	689688	130565	CEV
Cham	443	677758	226878	CHZ
Chasseral	1599	570847	220158	CHA
Chaumont	1136	565060	211006	CHM
Chur	556	759466	193153	CHU
Chateau-d'Oex	1029	577040	147655	CHD
Cimetta	1661	704433	117452	CIM
Col-des-Mosses	1412	573818	137852	CDM
Col-du-Grand-St-Bernard	2472	579200	79720	GSB
Courtelary	695	573623	225597	COY
Crap-Masegn	2480	732820	189380	CMA
Cressier	431	571160	210800	CRM
Davos	1594	783514	187458	DAV
Delemont	439	593269	244543	DEM
Disentis-Sedrun	1197	708189	173789	DIS
Ebnat-Kappel	623	726347	237176	EBK
Eggishorn	2893	650279	141897	EGH
Egolzwil	521	642913	225540	EGO
Einsiedeln	910	699984	221069	EIN
Elm	958	732265	198425	ELM
Engelberg	1036	674157	186097	ENG
Evionnaz	482	568197	114693	EVI
Evolene-Villa	1825	605415	106740	EVO
Fahy	596	562458	252676	FAH
Fluhli	940	644332	193311	FLU
Fribourg-Posieux	646	575182	180076	GRA
Frutigen	756	616774	160884	FRU
Geneve-Cointrin	412	498905	122632	GVE
Gersau	521	682510	205572	GES
Giswil	471	657320	188980	GIH
Glarus	517	723752	210568	GLA
Gornergrat	3129	626900	92512	GOR
Grenchen	430	598216	225348	GRE
Grimsel-Hospiz	1980	668583	158215	GRH
Grono	324	733017	124090	GRO
Grachen	1605	630739	116062	GRC
Gschenen	950	688477	171926	GOS
Gsgen	380	640417	245937	GOE
Gutsch-ob-Andermatt	2283	690050	167475	GUE
Guttingen	440	738420	273960	GUT
Hallau	419	677456	283472	HLL
Huttwil	633	630261	218189	HUT
Hrnli	1144	713515	247755	HOE
Ilanz	698	735685	181966	ILZ
Interlaken	577	633019	169093	INT
Jungfraujoch	3580	641930	155275	JUN
Koppigen	484	612662	218664	KOP
La-Brevine	1050	536982	203974	BRL
La-Chaux-de-Fonds	1018	550919	214861	CDF
La-Dôle	1670	497061	142362	DOL
Lachen-Galgenen	468	707637	226334	LAC
Langnau-i.E.	745	628005	198792	LAG
Le-Moleson	1974	567723	155072	MLS
Leibstadt	341	656379	272111	LEI
Les-Attelas	2727	586862	105305	ATT
Les-Charbonnieres	1045	513821	169387	CHB
Les-Diablerets	2964	581914	130622	DIA
Les-Marecottes	990	567375	107577	MAR
Locarno-Monti	367	704160	114350	OTL
Lugano	273	717874	95884	LUG
Luzern	454	665540	209848	LUZ
Lagern	845	672250	259460	LAE
Magadino-Cadenazzo	203	715480	113162	MAG
Marsens	715	571758	167317	MAS
Martigny-Ravoire	461	570920	106546	MAB
Mathod	437	533458	176567	MAH
Matro	2171	714263	140944	MTR
