The data of the Swiss Glacier Monitoring Network (GLAMOS) are freely available (https://www.glamos.ch) and may be used with indication of the source for scientific and non-commercial use.
When using these data, please cite as:
GLAMOS (2018). Swiss Glacier Mass Balance, release 2018, Glacier Monitoring Switzerland, doi:10.18750/massbalance.2018.r2018.
These data are extracted form the above mentioned dataset (A. Michel)

SWISS GLACIER MASS BALANCE (OBSERVATION PERIOD)

name; id; start_obs; end_winter_obs; end_obs; winter_mb; summer_mb; annual_mb; area
Claridenfirn;A50i/19;1914-09-28;1915-05-16;1915-08-08;1516;-725;791;6.82250
Claridenfirn;A50i/19;1915-08-08;1916-05-25;1916-08-15;1820;-880;940;6.80687
Claridenfirn;A50i/19;1916-08-15;1917-05-25;1917-09-26;1539;-1697;-158;6.78937
Claridenfirn;A50i/19;1917-09-26;1918-05-25;1918-09-18;1338;-754;584;6.76250
Claridenfirn;A50i/19;1918-09-18;1919-05-25;1919-09-17;1682;-1082;600;6.74812
Claridenfirn;A50i/19;1919-09-17;1920-05-25;1920-09-25;1577;-1732;-155;6.73438
Claridenfirn;A50i/19;1920-09-25;1921-05-25;1921-09-15;607;-2222;-1615;6.71312
Claridenfirn;A50i/19;1921-09-15;1922-05-25;1922-09-25;1753;-1700;53;6.69625
Claridenfirn;A50i/19;1922-09-25;1923-05-25;1923-09-12;1576;-1204;372;6.67500
Claridenfirn;A50i/19;1923-09-12;1924-05-25;1924-09-17;1783;-1203;580;6.66000
Claridenfirn;A50i/19;1924-09-17;1925-06-06;1925-09-01;1309;-1307;2;6.64375
Claridenfirn;A50i/19;1925-09-01;1926-05-25;1926-09-11;1624;-1129;495;6.62375
Claridenfirn;A50i/19;1926-09-11;1927-05-25;1927-09-23;1864;-1701;163;6.60125
Claridenfirn;A50i/19;1927-09-23;1928-05-25;1928-09-12;1518;-3008;-1490;6.58563
Claridenfirn;A50i/19;1928-09-12;1929-05-25;1929-09-15;1616;-2582;-966;6.56875
Claridenfirn;A50i/19;1929-09-15;1930-05-31;1930-09-26;1492;-1751;-259;6.54563
Claridenfirn;A50i/19;1930-09-26;1931-06-26;1931-09-16;1432;-1079;353;6.52750
Claridenfirn;A50i/19;1931-09-16;1932-06-13;1932-09-15;1554;-2370;-816;6.50812
Claridenfirn;A50i/19;1932-09-15;1933-06-05;1933-09-12;1560;-1356;204;6.48875
Claridenfirn;A50i/19;1933-09-12;1934-05-25;1934-09-19;766;-1798;-1032;6.46625
Claridenfirn;A50i/19;1934-09-19;1935-05-25;1935-09-16;1767;-1830;-63;6.44000
Claridenfirn;A50i/19;1935-09-16;1936-05-25;1936-09-20;1898;-1917;-19;6.16188
Claridenfirn;A50i/19;1936-09-20;1937-05-25;1937-09-20;1806;-1310;496;6.16188
Claridenfirn;A50i/19;1937-09-20;1938-06-04;1938-09-14;1553;-1674;-121;6.15813
Claridenfirn;A50i/19;1938-09-14;1939-06-11;1939-09-24;1718;-2156;-438;6.15688
Claridenfirn;A50i/19;1939-09-24;1940-05-25;1940-09-25;1799;-735;1064;6.15125
Claridenfirn;A50i/19;1940-09-25;1941-05-25;1941-09-18;1468;-812;656;6.14813
Claridenfirn;A50i/19;1941-09-18;1942-05-16;1942-09-13;1334;-2215;-881;6.14438
Claridenfirn;A50i/19;1942-09-13;1943-05-25;1943-09-17;1502;-2067;-565;6.14125
Claridenfirn;A50i/19;1943-09-17;1944-05-25;1944-09-14;1404;-1633;-229;6.13750
Claridenfirn;A50i/19;1944-09-14;1945-05-25;1945-09-12;1866;-1564;302;6.13625
Claridenfirn;A50i/19;1945-09-12;1946-05-25;1946-09-11;1696;-1721;-25;6.12688
Claridenfirn;A50i/19;1946-09-11;1947-05-25;1947-09-12;1159;-3688;-2529;6.12437
Claridenfirn;A50i/19;1947-09-12;1948-05-25;1948-10-03;1812;-1192;620;6.11750
Claridenfirn;A50i/19;1948-10-03;1949-06-06;1949-09-20;1200;-2539;-1339;6.11313
Claridenfirn;A50i/19;1949-09-20;1950-05-20;1950-09-14;1417;-2945;-1528;6.11125
Claridenfirn;A50i/19;1950-09-14;1951-06-15;1951-09-12;2004;-1822;182;6.10313
Claridenfirn;A50i/19;1951-09-12;1952-05-25;1952-08-28;1671;-2436;-765;6.10187
Claridenfirn;A50i/19;1952-08-28;1953-05-24;1953-09-18;2025;-1749;276;6.09750
Claridenfirn;A50i/19;1953-09-18;1954-06-07;1954-09-04;1232;-894;338;6.09563
Claridenfirn;A50i/19;1954-09-04;1955-05-25;1955-09-18;2171;-1114;1057;6.09063
Claridenfirn;A50i/19;1955-09-18;1956-05-27;1956-09-17;1559;-1356;203;5.80813
Claridenfirn;A50i/19;1956-09-17;1957-05-18;1957-09-10;1500;-1125;375;5.84812
Claridenfirn;A50i/19;1957-09-10;1958-06-02;1958-09-10;1378;-1801;-423;5.86188
Claridenfirn;A50i/19;1958-09-10;1959-05-17;1959-09-08;1375;-1928;-553;5.87125
Claridenfirn;A50i/19;1959-09-08;1960-05-28;1960-08-27;1321;-1121;200;5.88312
Claridenfirn;A50i/19;1960-08-27;1961-05-25;1961-09-13;2028;-1405;623;5.88812
Claridenfirn;A50i/19;1961-09-13;1962-04-28;1962-09-13;1680;-2351;-671;5.89562
Claridenfirn;A50i/19;1962-09-13;1963-05-25;1963-09-18;1283;-1874;-591;5.90688
Claridenfirn;A50i/19;1963-09-18;1964-05-20;1964-09-29;1125;-2216;-1091;5.91188
Claridenfirn;A50i/19;1964-09-29;1965-06-04;1965-09-16;1860;-866;994;5.92125
Claridenfirn;A50i/19;1965-09-16;1966-06-15;1966-09-22;1905;-861;1044;5.93313
Claridenfirn;A50i/19;1966-09-22;1967-06-21;1967-09-15;2314;-2034;280;5.93938
Claridenfirn;A50i/19;1967-09-15;1968-05-25;1968-09-14;1833;-936;897;5.95062
Claridenfirn;A50i/19;1968-09-14;1969-05-18;1969-09-12;1396;-983;413;5.95563
Claridenfirn;A50i/19;1969-09-12;1970-06-17;1970-09-22;2116;-2046;70;5.96000
Claridenfirn;A50i/19;1970-09-22;1971-06-24;1971-09-27;1383;-1930;-547;5.96750
