The data of the Swiss Glacier Monitoring Network (GLAMOS) are freely available (https://www.glamos.ch) and may be used with indication of the source for scientific and non-commercial use.
When using these data, please cite as:
GLAMOS (2018). Swiss Glacier Mass Balance, release 2018, Glacier Monitoring Switzerland, doi:10.18750/massbalance.2018.r2018.
These data are extracted form the above mentioned dataset (A. Michel)

SWISS GLACIER MASS BALANCE (OBSERVATION PERIOD)

name; id; start_obs; end_winter_obs; end_obs; winter_mb; summer_mb; annual_mb; area
Glacier du Giétro;B82/14;1967-09-05;1968-09-01;1968-09-16;849;-437;412;5.66688
Glacier du Giétro;B82/14;1968-09-16;1969-09-01;1969-08-12;1085;-781;304;5.66437
Glacier du Giétro;B82/14;1969-08-12;1970-09-01;1970-08-13;1339;-1168;171;5.66375
Glacier du Giétro;B82/14;1970-08-13;1971-09-01;1971-09-18;631;-2207;-1576;5.64938
Glacier du Giétro;B82/14;1971-09-18;1972-09-01;1972-09-22;921;-1182;-261;5.66750
Glacier du Giétro;B82/14;1972-09-22;1973-09-01;1973-08-21;884;-1208;-324;5.65688
Glacier du Giétro;B82/14;1973-08-21;1974-09-01;1974-09-15;740;-1090;-350;5.65688
Glacier du Giétro;B82/14;1974-09-15;1975-09-01;1975-09-15;1307;-1256;51;5.65750
Glacier du Giétro;B82/14;1975-09-15;1976-09-01;1976-09-15;805;-1799;-994;5.65688
Glacier du Giétro;B82/14;1976-09-15;1977-09-01;1977-09-15;1682;-1009;673;5.65688
Glacier du Giétro;B82/14;1977-09-15;1978-09-01;1978-09-15;1481;-682;799;5.65625
Glacier du Giétro;B82/14;1978-09-15;1979-09-01;1979-09-15;1176;-1709;-533;5.65625
Glacier du Giétro;B82/14;1979-09-15;1980-09-01;1980-09-15;1334;-363;971;5.65625
Glacier du Giétro;B82/14;1980-09-15;1981-09-01;1981-09-15;1425;-1075;350;5.65562
Glacier du Giétro;B82/14;1981-09-15;1982-09-01;1982-09-15;1490;-2077;-587;5.65500
Glacier du Giétro;B82/14;1982-09-15;1983-09-01;1983-09-15;1385;-1789;-404;5.65500
Glacier du Giétro;B82/14;1983-09-15;1984-09-01;1984-09-15;882;-1423;-541;5.65500
Glacier du Giétro;B82/14;1984-09-15;1985-09-01;1985-09-15;1181;-1212;-31;5.68250
Glacier du Giétro;B82/14;1985-09-15;1986-09-01;1986-09-15;1529;-2260;-731;5.88125
Glacier du Giétro;B82/14;1986-09-15;1987-09-01;1987-09-15;1194;-1325;-131;5.84687
Glacier du Giétro;B82/14;1987-09-15;1988-09-01;1988-09-15;1455;-1708;-253;5.84687
Glacier du Giétro;B82/14;1988-09-15;1989-09-01;1989-09-15;1197;-1732;-535;5.84187
Glacier du Giétro;B82/14;1989-09-15;1990-09-01;1990-09-15;1037;-1273;-236;5.83688
Glacier du Giétro;B82/14;1990-09-15;1991-09-01;1991-09-15;1421;-2748;-1327;5.83375
Glacier du Giétro;B82/14;1991-09-15;1992-09-01;1992-09-15;1026;-1417;-391;5.82937
Glacier du Giétro;B82/14;1992-09-15;1993-09-01;1993-09-15;1424;-1719;-295;5.82688
Glacier du Giétro;B82/14;1993-09-15;1994-09-01;1994-09-15;1492;-1769;-277;5.82375
