The data of the Swiss Glacier Monitoring Network (GLAMOS) are freely available (https://www.glamos.ch) and may be used with indication of the source for scientific and non-commercial use.
When using these data, please cite as:
GLAMOS (2018). Swiss Glacier Mass Balance, release 2018, Glacier Monitoring Switzerland, doi:10.18750/massbalance.2018.r2018.
These data are extracted form the above mentioned dataset (A. Michel)

SWISS GLACIER MASS BALANCE (OBSERVATION PERIOD)

name; id; start_obs; end_winter_obs; end_obs; winter_mb; summer_mb; annual_mb; area
Hohlaubgletscher;B52/32;1955-09-15;1956-05-01;1956-09-15;1165;-831;334;2.40500
Hohlaubgletscher;B52/32;1956-09-15;1957-05-01;1957-09-15;1169;-704;465;2.44375
Hohlaubgletscher;B52/32;1957-09-15;1958-05-01;1958-09-15;1530;-1648;-118;2.44188
Hohlaubgletscher;B52/32;1958-09-15;1959-05-01;1959-09-15;1403;-1996;-593;2.44188
Hohlaubgletscher;B52/32;1959-09-15;1960-05-01;1960-09-15;1321;-841;480;2.44062
Hohlaubgletscher;B52/32;1960-09-15;1961-05-03;1961-09-15;1603;-1185;418;2.44062
Hohlaubgletscher;B52/32;1961-09-15;1962-04-26;1962-09-15;1158;-1717;-559;2.43938
Hohlaubgletscher;B52/32;1962-09-15;1963-05-01;1963-09-15;1304;-1240;64;2.43750
Hohlaubgletscher;B52/32;1963-09-15;1964-05-28;1964-09-15;1219;-1848;-629;2.43688
Hohlaubgletscher;B52/32;1964-09-15;1965-05-01;1965-09-15;1038;-1296;-258;2.43625
Hohlaubgletscher;B52/32;1965-09-15;1966-05-01;1966-09-15;1800;-1535;265;2.43375
Hohlaubgletscher;B52/32;1966-09-15;1967-04-26;1967-09-15;1462;-822;640;2.42625
Hohlaubgletscher;B52/32;1967-09-01;1968-09-01;1968-09-01;658;-1199;-541;2.42750
Hohlaubgletscher;B52/32;1968-09-01;1969-09-01;1969-09-01;1345;-1248;97;2.43125
Hohlaubgletscher;B52/32;1969-09-01;1970-05-01;1970-09-01;1137;-2000;-863;2.43250
Hohlaubgletscher;B52/32;1970-09-01;1971-09-01;1971-09-01;1139;-1766;-627;2.43625
Hohlaubgletscher;B52/32;1971-09-01;1972-05-01;1972-09-01;1225;-1081;144;2.43938
Hohlaubgletscher;B52/32;1972-09-28;1973-05-07;1973-09-25;1039;-833;206;2.44125
