The data of the Swiss Glacier Monitoring Network (GLAMOS) are freely available (https://www.glamos.ch) and may be used with indication of the source for scientific and non-commercial use.
When using these data, please cite as:
GLAMOS (2018). Swiss Glacier Mass Balance, release 2018, Glacier Monitoring Switzerland, doi:10.18750/massbalance.2018.r2018.
These data are extracted form the above mentioned dataset (A. Michel)

SWISS GLACIER MASS BALANCE (OBSERVATION PERIOD)

name; id; start_obs; end_winter_obs; end_obs; winter_mb; summer_mb; annual_mb; area
Schwarzberggletscher;B52/24;1955-09-15;1956-05-01;1956-09-15;1181;-1516;-335;5.57875
Schwarzberggletscher;B52/24;1956-09-15;1957-05-01;1957-09-15;901;-1282;-381;5.55500
Schwarzberggletscher;B52/24;1957-09-15;1958-05-01;1958-09-15;1287;-1874;-587;5.55000
Schwarzberggletscher;B52/24;1958-09-15;1959-05-01;1959-09-15;1400;-1324;76;5.54688
Schwarzberggletscher;B52/24;1959-09-15;1960-05-01;1960-09-15;1245;-864;381;5.54437
Schwarzberggletscher;B52/24;1960-09-15;1961-05-03;1961-09-15;1862;-1563;299;5.54312
Schwarzberggletscher;B52/24;1961-09-15;1962-04-26;1962-09-15;1309;-1744;-435;5.54063
Schwarzberggletscher;B52/24;1962-09-15;1963-05-01;1963-09-15;1553;-1337;216;5.53937
Schwarzberggletscher;B52/24;1963-09-15;1964-05-10;1964-09-15;1282;-1697;-415;5.53313
Schwarzberggletscher;B52/24;1964-09-15;1965-05-01;1965-09-15;620;-1067;-447;5.52750
Schwarzberggletscher;B52/24;1965-09-15;1966-03-31;1966-09-15;1740;-1339;401;5.52250
Schwarzberggletscher;B52/24;1966-09-15;1967-05-26;1967-09-15;1491;-1433;58;5.46750
Schwarzberggletscher;B52/24;1967-09-01;1968-09-01;1968-09-01;712;-777;-65;5.51500
Schwarzberggletscher;B52/24;1968-09-01;1969-09-01;1969-09-01;1435;-1051;384;5.52000
Schwarzberggletscher;B52/24;1969-09-01;1970-09-01;1970-09-01;1410;-1645;-235;5.53000
Schwarzberggletscher;B52/24;1970-09-01;1971-09-01;1971-09-01;1245;-1444;-199;5.54625
Schwarzberggletscher;B52/24;1971-09-01;1972-09-01;1972-09-01;985;-981;4;5.55438
Schwarzberggletscher;B52/24;1972-09-15;1973-05-10;1973-09-15;914;-1345;-431;5.55813
Schwarzberggletscher;B52/24;1973-09-15;1974-05-11;1974-09-15;1353;-1246;107;5.56250
Schwarzberggletscher;B52/24;1974-09-15;1975-05-17;1975-09-15;1584;-699;885;5.57000
Schwarzberggletscher;B52/24;1975-09-15;1976-05-03;1976-09-15;1021;-1178;-157;5.57625
Schwarzberggletscher;B52/24;1976-09-01;1977-05-01;1977-09-01;2366;-539;1827;5.58000
Schwarzberggletscher;B52/24;1977-09-01;1978-05-01;1978-09-01;2953;-459;2494;5.58812
