The data of the Swiss Glacier Monitoring Network (GLAMOS) are freely available (https://www.glamos.ch) and may be used with indication of the source for scientific and non-commercial use.
When using these data, please cite as:
GLAMOS (2018). Swiss Glacier Mass Balance, release 2018, Glacier Monitoring Switzerland, doi:10.18750/massbalance.2018.r2018.
These data are extracted form the above mentioned dataset (A. Michel)

SWISS GLACIER MASS BALANCE (OBSERVATION PERIOD)

name; id; start_obs; end_winter_obs; end_obs; winter_mb; summer_mb; annual_mb; area
Silvrettagletscher;A10g/05;1918-09-01;1919-09-01;1919-09-01;1363;-1574;-211;3.70875
Silvrettagletscher;A10g/05;1919-10-01;1920-04-26;1920-09-10;1969;-1936;33;3.70625
Silvrettagletscher;A10g/05;1920-09-11;1921-03-28;1921-09-25;674;-3028;-2354;3.70500
Silvrettagletscher;A10g/05;1921-10-01;1922-04-04;1922-10-18;987;-913;74;3.70313
Silvrettagletscher;A10g/05;1922-10-01;1923-04-30;1923-09-29;1391;-1540;-149;3.70000
Silvrettagletscher;A10g/05;1923-10-01;1924-04-22;1924-10-08;1188;-797;391;3.69687
Silvrettagletscher;A10g/05;1924-10-01;1925-04-11;1925-09-17;836;-649;187;3.69563
Silvrettagletscher;A10g/05;1925-10-01;1926-02-20;1926-09-11;1263;-1263;0;3.69313
Silvrettagletscher;A10g/05;1926-10-01;1927-04-19;1927-10-10;1909;-1693;216;3.69125
Silvrettagletscher;A10g/05;1927-10-01;1928-02-21;1928-08-10;947;-1987;-1040;3.69125
Silvrettagletscher;A10g/05;1928-10-01;1929-05-26;1929-09-25;1223;-2557;-1334;3.69125
Silvrettagletscher;A10g/05;1929-10-01;1930-04-26;1930-09-04;958;-1288;-330;3.68875
Silvrettagletscher;A10g/05;1930-10-01;1931-05-20;1931-09-26;1467;-990;477;3.68812
Silvrettagletscher;A10g/05;1931-10-01;1932-04-20;1932-09-23;1081;-2233;-1152;3.68625
Silvrettagletscher;A10g/05;1932-10-01;1933-05-21;1933-09-26;1284;-1055;229;3.68500
Silvrettagletscher;A10g/05;1933-10-01;1934-05-14;1934-09-25;867;-1274;-407;3.68438
Silvrettagletscher;A10g/05;1934-10-01;1935-05-06;1935-09-14;1800;-1510;290;3.68438
Silvrettagletscher;A10g/05;1935-10-01;1936-05-09;1936-09-24;1525;-1414;111;3.68313
Silvrettagletscher;A10g/05;1936-10-01;1937-02-19;1937-10-05;1325;-1311;14;3.68187
Silvrettagletscher;A10g/05;1937-10-05;1938-04-16;1938-09-15;922;-1083;-161;3.55563
Silvrettagletscher;A10g/05;1938-09-15;1939-03-11;1939-09-12;986;-1427;-441;3.47812
Silvrettagletscher;A10g/05;1939-09-12;1940-05-20;1940-09-20;1401;-836;565;3.46625
Silvrettagletscher;A10g/05;1940-09-20;1941-05-25;1941-09-20;1460;-760;700;3.45562
Silvrettagletscher;A10g/05;1941-09-20;1942-05-20;1942-09-19;1016;-2230;-1214;3.44937
Silvrettagletscher;A10g/05;1942-09-19;1943-05-09;1943-09-25;1365;-1792;-427;3.43875
Silvrettagletscher;A10g/05;1943-09-25;1944-04-29;1944-09-30;1130;-1362;-232;3.42687
Silvrettagletscher;A10g/05;1944-09-01;1945-09-01;1945-09-01;2370;-2551;-181;3.41500
Silvrettagletscher;A10g/05;1945-09-12;1946-04-14;1946-09-25;1265;-1162;103;3.40437
Silvrettagletscher;A10g/05;1946-10-01;1947-05-12;1947-09-19;824;-3391;-2567;3.39812
Silvrettagletscher;A10g/05;1947-09-19;1948-04-29;1948-09-22;1947;-884;1063;3.39063
Silvrettagletscher;A10g/05;1948-09-22;1949-02-19;1949-09-27;615;-2070;-1455;3.38500
Silvrettagletscher;A10g/05;1949-10-01;1950-05-11;1950-10-04;1291;-2643;-1352;3.37500
Silvrettagletscher;A10g/05;1950-10-04;1951-05-06;1951-09-21;1751;-2019;-268;3.36250
Silvrettagletscher;A10g/05;1951-10-01;1952-05-16;1952-08-26;1210;-2183;-973;3.35562
Silvrettagletscher;A10g/05;1952-08-26;1953-04-24;1953-09-10;1621;-1886;-265;3.34938
Silvrettagletscher;A10g/05;1953-09-10;1954-04-27;1954-09-24;1103;-1323;-220;3.34063
Silvrettagletscher;A10g/05;1954-09-24;1955-04-15;1955-09-26;1849;-1130;719;3.32500
Silvrettagletscher;A10g/05;1955-09-26;1956-04-21;1956-09-09;1383;-1212;171;3.31375
Silvrettagletscher;A10g/05;1956-09-09;1957-04-27;1957-09-27;1162;-1150;12;3.30813
Silvrettagletscher;A10g/05;1957-09-27;1958-05-02;1958-09-09;1403;-2045;-642;3.30187
Silvrettagletscher;A10g/05;1958-10-01;1959-04-29;1959-09-26;938;-2070;-1132;3.23312
Silvrettagletscher;A10g/05;1959-09-26;1960-05-17;1960-08-31;763;-652;111;3.24600
Silvrettagletscher;A10g/05;1960-08-31;1961-05-24;1961-09-28;1758;-1338;420;3.24300
Silvrettagletscher;A10g/05;1961-09-28;1962-05-25;1962-09-28;1707;-2162;-455;3.23600
Silvrettagletscher;A10g/05;1962-09-28;1963-05-31;1963-09-25;1066;-2115;-1049;3.22900
Silvrettagletscher;A10g/05;1963-09-25;1964-06-02;1964-09-26;874;-2234;-1360;3.22300
Silvrettagletscher;A10g/05;1964-09-26;1965-06-28;1965-09-29;1697;-437;1260;3.21600
Silvrettagletscher;A10g/05;1965-09-29;1966-04-30;1966-09-15;1718;-466;1252;3.20200
Silvrettagletscher;A10g/05;1966-09-23;1967-07-01;1967-09-29;1732;-1369;363;3.19100
Silvrettagletscher;A10g/05;1967-09-29;1968-06-25;1968-09-24;1444;-852;592;3.18400
Silvrettagletscher;A10g/05;1968-09-24;1969-06-13;1969-09-25;996;-1081;-85;3.17800
Silvrettagletscher;A10g/05;1969-09-25;1970-06-17;1970-09-26;1364;-1239;125;3.17400
Silvrettagletscher;A10g/05;1970-09-26;1971-05-11;1971-09-24;1068;-1766;-698;3.17200
Silvrettagletscher;A10g/05;1971-09-24;1972-05-25;1972-09-21;593;-842;-249;3.17100
